Year,School,gradTotal,Type,Ownership
111,法鼓文理學院,31,General,Private
111,淡江大學,559,General,Private
111,玄奘大學,44,General,Private
111,環球科技大學,45,Tech,Private
111,真理大學,26,General,Private
111,美和科技大學,41,Tech,Private
111,義守大學,129,General,Private
111,聖約翰科技大學,25,Tech,Private
111,育達科技大學,38,Tech,Private
111,致理科技大學,14,Tech,Private
111,臺北城市科技大學,15,Tech,Private
111,臺北醫學大學,283,General,Private
111,華夏科技大學,7,Tech,Private
111,華梵大學,41,General,Private
111,萬能科技大學,28,Tech,Private
111,輔仁大學,577,General,Private
111,輔英科技大學,34,Tech,Private
111,逢甲大學,649,General,Private
111,遠東科技大學,81,Tech,Private
111,醒吾科技大學,13,Tech,Private
111,銘傳大學,261,General,Private
111,長庚大學,344,General,Private
111,長庚科技大學,16,Tech,Private
111,長榮大學,93,General,Private
111,開南大學,77,General,Private
111,靜宜大學,172,General,Private
111,馬偕醫學院,21,General,Private
111,台鋼科技大學,33,Tech,Private
111,高雄醫學大學,258,General,Private
111,龍華科技大學,99,Tech,Private
