學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,男生計,女生計,總計
1,國立政治大學,01111001,教育學系,D 日,D 博士,5,15,10,12,9,4,4,7,8,4,6,1,6,4,0,0,30 臺北市,1 一般,48,47,95
1,國立政治大學,01111001,教育學系,D 日,M 碩士,1,13,5,10,4,10,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,11,35,46
1,國立政治大學,01111001,教育學系,D 日,B 學士,13,44,16,37,18,42,15,37,0,0,0,0,0,0,7,10,30 臺北市,1 一般,69,170,239
1,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,5,5,2,13,6,8,0,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般,13,34,47
1,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,5,15,7,14,11,12,3,4,0,2,0,0,0,0,0,0,30 臺北市,1 一般,26,47,73
1,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,3,6,4,16,3,6,1,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般,11,29,40
1,國立政治大學,01131002,華語文教學博士學位學程,D 日,D 博士,0,5,1,2,0,2,0,2,0,4,0,1,0,2,0,0,30 臺北市,1 一般,1,18,19
1,國立政治大學,01131002,華語文教學碩士學位學程,D 日,M 碩士,3,16,4,13,2,9,3,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般,12,45,57
1,國立政治大學,02211019,宗教研究所,D 日,D 博士,2,2,4,3,5,2,3,4,1,2,2,2,1,1,0,0,30 臺北市,1 一般,18,16,34
1,國立政治大學,02211019,宗教研究所,D 日,M 碩士,7,8,3,3,4,5,3,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,17,20,37
1,國立政治大學,02221020,歷史學系,D 日,D 博士,5,1,2,2,2,3,1,2,2,2,5,3,4,2,0,0,30 臺北市,1 一般,21,15,36
1,國立政治大學,02221020,歷史學系,D 日,M 碩士,15,2,13,3,5,9,12,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般,45,17,62
1,國立政治大學,02221020,歷史學系,D 日,B 學士,28,20,25,12,33,9,20,11,0,0,0,0,0,0,9,6,30 臺北市,1 一般,115,58,173
1,國立政治大學,02221021,台灣史研究所,D 日,D 博士,2,1,1,1,1,2,2,0,0,2,2,0,1,4,0,0,30 臺北市,1 一般,9,10,19
1,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,9,8,5,6,5,6,12,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般,31,25,56
1,國立政治大學,02222031,民族學系,D 日,D 博士,1,1,2,1,2,1,3,3,2,1,3,1,2,0,0,0,30 臺北市,1 一般,15,8,23
1,國立政治大學,02222031,民族學系,D 日,M 碩士,3,7,1,3,3,6,4,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,11,20,31
1,國立政治大學,02222031,民族學系,D 日,B 學士,19,30,16,28,15,18,16,18,0,0,0,0,0,0,5,16,30 臺北市,1 一般,71,110,181
1,國立政治大學,02231022,哲學系,D 日,D 博士,1,0,4,1,1,0,4,2,0,3,6,1,3,1,0,0,30 臺北市,1 一般,19,8,27
1,國立政治大學,02231022,哲學系,D 日,M 碩士,6,11,8,7,7,3,5,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,26,23,49
1,國立政治大學,02231022,哲學系,D 日,B 學士,22,29,18,25,22,16,24,16,0,0,0,0,0,0,11,5,30 臺北市,1 一般,97,91,188
1,國立政治大學,02311009,英國語文學系,D 日,D 博士,0,2,1,3,1,2,1,0,2,2,2,4,0,2,0,0,30 臺北市,1 一般,7,15,22
1,國立政治大學,02311009,英國語文學系,D 日,M 碩士,5,12,7,11,4,10,2,14,0,0,0,0,0,0,0,0,30 臺北市,1 一般,18,47,65
1,國立政治大學,02311009,英國語文學系,D 日,B 學士,19,47,20,47,18,51,25,48,0,0,0,0,0,0,12,30,30 臺北市,1 一般,94,223,317
1,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,2,16,0,4,2,12,0,0,2,7,0,0,0,0,0,0,30 臺北市,1 一般,6,39,45
1,國立政治大學,02311011,日本語文學系,D 日,M 碩士,5,4,1,6,2,5,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,9,17,26
1,國立政治大學,02311011,日本語文學系,D 日,B 學士,11,29,13,24,7,32,6,37,0,0,0,0,0,0,7,21,30 臺北市,1 一般,44,143,187
1,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,16,29,19,23,14,28,6,30,0,0,0,0,0,0,4,6,30 臺北市,1 一般,59,116,175
1,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,2,7,1,6,0,3,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,3,18,21
1,國立政治大學,02311014,韓國語文學系,D 日,B 學士,6,28,4,30,6,29,3,29,0,0,0,0,0,0,4,13,30 臺北市,1 一般,23,129,152
1,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,10,24,10,23,7,19,7,18,0,0,0,0,0,0,2,11,30 臺北市,1 一般,36,95,131
1,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,13,46,21,42,10,50,11,54,0,0,0,0,0,0,11,34,30 臺北市,1 一般,66,226,292
1,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,3,5,8
1,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,8,46,15,42,22,32,16,32,0,0,0,0,0,0,10,22,30 臺北市,1 一般,71,174,245
1,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,4,12,16
1,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,0,1,0,2,1,1,1,2,0,1,0,2,1,2,0,0,30 臺北市,1 一般,3,11,14
1,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,9,5,3,2,3,7,4,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般,19,19,38
1,國立政治大學,02322008,中國文學系,D 日,D 博士,8,6,9,0,7,4,2,14,5,3,3,3,3,3,0,0,30 臺北市,1 一般,37,33,70
1,國立政治大學,02322008,中國文學系,D 日,M 碩士,8,20,10,15,7,28,10,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般,35,70,105
1,國立政治大學,02322008,中國文學系,D 日,B 學士,32,49,20,59,27,59,16,63,0,0,0,0,0,0,8,27,30 臺北市,1 一般,103,257,360
1,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,2,14,6,19,4,20,1,5,0,5,0,0,0,0,0,0,30 臺北市,1 一般,13,63,76
1,國立政治大學,02399018,語言學研究所,D 日,D 博士,0,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0,30 臺北市,1 一般,3,4,7
1,國立政治大學,02399018,語言學研究所,D 日,M 碩士,8,5,1,4,2,6,2,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般,13,18,31
1,國立政治大學,03111024,經濟學系,D 日,D 博士,2,1,2,0,3,0,1,0,0,1,2,0,3,1,0,0,30 臺北市,1 一般,13,3,16
1,國立政治大學,03111024,經濟學系,D 日,M 碩士,26,12,25,7,1,4,2,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,54,23,77
1,國立政治大學,03111024,經濟學系,D 日,B 學士,48,44,48,46,46,51,65,48,0,0,0,0,0,0,15,10,30 臺北市,1 一般,222,199,421
1,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,9,5,3,8,1,2,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,14,15,29
1,國立政治大學,03121026,政治學系,D 日,D 博士,2,1,5,0,2,2,3,1,4,0,4,0,4,0,0,0,30 臺北市,1 一般,24,4,28
1,國立政治大學,03121026,政治學系,D 日,M 碩士,12,10,12,7,12,8,7,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般,43,31,74
1,國立政治大學,03121026,政治學系,D 日,B 學士,26,24,26,28,22,30,21,23,0,0,0,0,0,0,4,14,30 臺北市,1 一般,99,119,218
1,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,22,7,20,7,4,0,5,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般,51,15,66
1,國立政治大學,03122045,外交學系,D 日,D 博士,1,0,1,0,2,1,1,0,1,0,1,0,1,0,0,0,30 臺北市,1 一般,8,1,9
1,國立政治大學,03122045,外交學系,D 日,M 碩士,13,18,6,13,3,5,5,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般,27,43,70
1,國立政治大學,03122045,外交學系,D 日,B 學士,16,40,22,39,24,44,21,46,0,0,0,0,0,0,11,19,30 臺北市,1 一般,94,188,282
1,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,19,5,15,7,7,0,8,3,5,1,0,0,0,0,0,0,30 臺北市,1 一般,54,16,70
1,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,10,13,15,8,2,3,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,28,26,54
1,國立政治大學,03131032,心理學系,D 日,D 博士,1,2,0,1,0,0,0,1,0,2,0,1,2,2,0,0,30 臺北市,1 一般,3,9,12
1,國立政治大學,03131032,心理學系,D 日,M 碩士,10,15,11,11,8,16,4,13,0,0,0,0,0,0,0,0,30 臺北市,1 一般,33,55,88
1,國立政治大學,03131032,心理學系,D 日,B 學士,14,24,18,37,25,25,20,36,0,0,0,0,0,0,3,6,30 臺北市,1 一般,80,128,208
1,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,4,7,3,10,2,5,0,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,9,26,35
1,國立政治大學,03141030,社會學系,D 日,D 博士,0,3,1,2,1,0,1,0,0,0,2,0,4,0,0,0,30 臺北市,1 一般,9,5,14
1,國立政治大學,03141030,社會學系,D 日,M 碩士,5,10,13,9,5,5,5,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,28,28,56
1,國立政治大學,03141030,社會學系,D 日,B 學士,22,29,13,31,17,28,10,32,0,0,0,0,0,0,12,11,30 臺北市,1 一般,74,131,205
1,國立政治大學,03143023,中東與中亞研究碩士學位學程,D 日,M 碩士,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,6,5,11
1,國立政治大學,03143028,東亞研究所,D 日,D 博士,2,4,3,2,4,0,4,0,3,0,2,2,2,0,0,0,30 臺北市,1 一般,20,8,28
1,國立政治大學,03143028,東亞研究所,D 日,M 碩士,11,11,10,5,11,8,9,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般,41,31,72
1,國立政治大學,03143036,日本研究博士學位學程,D 日,D 博士,0,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,5,4,9
1,國立政治大學,03143036,日本研究碩士學位學程,D 日,M 碩士,5,8,5,6,6,5,2,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,18,21,39
1,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,8,6,5,3,5,3,2,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,20,14,34
1,國立政治大學,03143040,亞太研究英語博士學位學程,D 日,D 博士,7,6,6,4,5,3,4,1,2,3,8,2,3,1,0,0,30 臺北市,1 一般,35,20,55
1,國立政治大學,03143040,亞太研究英語碩士學位學程,D 日,M 碩士,12,13,7,9,2,4,3,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般,24,32,56
1,國立政治大學,03191047,國家發展研究所,D 日,D 博士,6,1,3,2,2,2,5,1,3,0,1,2,2,1,0,0,30 臺北市,1 一般,22,9,31
1,國立政治大學,03191047,國家發展研究所,D 日,M 碩士,11,12,8,11,9,5,7,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般,35,34,69
1,國立政治大學,03199048,勞工研究所,D 日,M 碩士,7,17,9,18,5,12,4,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般,25,55,80
1,國立政治大學,03211049,傳播學院傳播碩士學位學程,D 日,M 碩士,22,53,17,51,21,40,8,28,0,0,0,0,0,0,0,0,30 臺北市,1 一般,68,172,240
1,國立政治大學,03211049,傳播學院傳播學士學位學程,D 日,B 學士,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,30 臺北市,1 一般,3,10,13
1,國立政治大學,03211050,國際傳播英語碩士學位學程,D 日,M 碩士,2,15,3,18,2,5,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般,8,41,49
1,國立政治大學,03211052,廣播電視學系,D 日,B 學士,0,0,0,0,26,49,21,53,0,0,0,0,0,0,5,17,30 臺北市,1 一般,52,119,171
1,國立政治大學,03211056,傳播學院碩士在職專班,N 職,M 碩士,5,20,4,19,12,12,3,4,1,4,0,0,0,0,0,0,30 臺北市,1 一般,25,59,84
1,國立政治大學,03212051,新聞學系,D 日,D 博士,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,30 臺北市,1 一般,5,2,7
1,國立政治大學,03212051,新聞學系,D 日,B 學士,0,0,0,0,15,23,10,45,0,0,0,0,0,0,11,22,30 臺北市,1 一般,36,90,126
1,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,D 博士,2,1,0,2,1,1,0,3,1,0,0,0,0,0,0,0,30 臺北市,1 一般,4,7,11
1,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,M 碩士,9,16,4,15,3,2,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般,17,36,53
1,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,5,18,2,19,1,11,1,3,2,1,0,0,0,0,0,0,30 臺北市,1 一般,11,52,63
1,國立政治大學,03299056,傳播學院博士班,D 日,D 博士,5,3,3,4,2,5,0,1,0,1,0,0,0,0,0,0,30 臺北市,1 一般,10,14,24
1,國立政治大學,03299056,傳播學院大一大二不分系,D 日,B 學士,43,161,56,178,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,99,339,438
1,國立政治大學,04111059,會計學系,D 日,D 博士,1,0,1,1,0,1,0,1,1,2,0,1,2,1,0,0,30 臺北市,1 一般,5,7,12
1,國立政治大學,04111059,會計學系,D 日,M 碩士,25,38,22,37,8,9,3,1,0,0,0,0,0,0,0,0,30 臺北市,1 一般,58,85,143
1,國立政治大學,04111059,會計學系,D 日,B 學士,41,55,45,56,50,66,42,67,0,0,0,0,0,0,6,18,30 臺北市,1 一般,184,262,446
1,國立政治大學,04121065,財務管理學系,D 日,D 博士,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,30 臺北市,1 一般,5,4,9
1,國立政治大學,04121065,財務管理學系,D 日,M 碩士,21,15,18,13,8,5,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,47,33,80
1,國立政治大學,04121065,財務管理學系,D 日,B 學士,22,24,19,28,31,15,16,33,0,0,0,0,0,0,5,5,30 臺北市,1 一般,93,105,198
1,國立政治大學,04121068,金融學系,D 日,D 博士,5,1,5,0,3,1,4,0,3,1,0,2,1,0,0,0,30 臺北市,1 一般,21,5,26
1,國立政治大學,04121068,金融學系,D 日,M 碩士,33,11,18,13,7,8,1,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,59,32,91
