學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,男生計,女生計,總計
1,國立政治大學,140101,教育學系,D 日,D 博士,8,13,12,5,9,7,12,7,9,3,8,3,1,3,0,0,30 臺北市,1 一般,59,41,100
1,國立政治大學,140101,教育學系,D 日,M 碩士,4,12,6,14,3,4,0,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般,13,35,48
1,國立政治大學,140101,教育學系,D 日,B 學士,16,43,19,42,15,37,21,41,0,0,0,0,0,0,13,11,30 臺北市,1 一般,84,174,258
1,國立政治大學,140203,華語文教學博士學位學程,D 日,D 博士,1,1,0,2,0,2,0,2,0,4,0,1,0,2,0,0,30 臺北市,1 一般,1,14,15
1,國立政治大學,140203,華語文教學碩士學位學程,D 日,M 碩士,4,12,2,10,2,13,1,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,9,39,48
1,國立政治大學,140401,幼兒教育研究所,D 日,M 碩士,4,15,2,10,1,5,0,4,0,0,0,0,0,0,0,0,30 臺北市,1 一般,7,34,41
1,國立政治大學,140701,教育行政與政策研究所,D 日,M 碩士,2,13,8,8,4,13,1,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般,15,37,52
1,國立政治大學,140709,學校行政碩士在職專班,N 職,M 碩士,7,16,11,12,9,13,2,8,3,1,0,0,0,0,0,0,30 臺北市,1 一般,32,50,82
1,國立政治大學,220101,台灣文學研究所,D 日,D 博士,0,2,1,2,1,2,0,0,0,1,1,1,0,0,0,0,30 臺北市,1 一般,3,8,11
1,國立政治大學,220101,台灣文學研究所,D 日,M 碩士,4,2,3,6,1,7,3,7,0,0,0,0,0,0,0,0,30 臺北市,1 一般,11,22,33
1,國立政治大學,220201,中國文學系,D 日,D 博士,9,0,7,5,2,13,5,5,5,4,3,4,2,1,0,0,30 臺北市,1 一般,33,32,65
1,國立政治大學,220201,中國文學系,D 日,M 碩士,9,15,6,27,10,6,5,9,0,0,0,0,0,0,0,0,30 臺北市,1 一般,30,57,87
1,國立政治大學,220201,中國文學系,D 日,B 學士,18,68,29,60,16,66,19,63,0,0,0,0,0,0,8,25,30 臺北市,1 一般,90,282,372
1,國立政治大學,220201,中國文學系－國文教學碩士在職專班,N 職,M 碩士,6,22,5,13,1,10,1,7,1,2,0,0,0,0,0,0,30 臺北市,1 一般,14,54,68
1,國立政治大學,220307,英國語文學系－文學組,D 日,D 博士,0,2,0,1,1,0,1,1,1,1,0,1,0,1,0,0,30 臺北市,1 一般,3,7,10
1,國立政治大學,220307,英國語文學系－英語教學組,D 日,D 博士,1,1,0,4,0,0,1,1,0,2,0,1,0,2,0,0,30 臺北市,1 一般,2,11,13
1,國立政治大學,220307,英國語文學系,D 日,M 碩士,8,12,5,9,1,9,3,15,0,0,0,0,0,0,0,0,30 臺北市,1 一般,17,45,62
1,國立政治大學,220307,英國語文學系,D 日,B 學士,18,46,18,50,25,46,13,57,0,0,0,0,0,0,11,25,30 臺北市,1 一般,85,224,309
1,國立政治大學,220307,英國語文學系－英語教學碩士在職專班,N 職,M 碩士,0,2,2,13,0,0,2,9,0,2,0,0,0,0,0,0,30 臺北市,1 一般,4,26,30
1,國立政治大學,220320,日本語文學系,D 日,M 碩士,2,7,2,5,3,4,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,7,18,25
1,國立政治大學,220320,日本語文學系,D 日,B 學士,15,21,7,32,6,37,9,29,0,0,0,0,0,0,5,19,30 臺北市,1 一般,42,138,180
1,國立政治大學,220322,阿拉伯語文學系,D 日,B 學士,17,29,15,29,6,30,11,21,0,0,0,0,0,0,8,8,30 臺北市,1 一般,57,117,174
1,國立政治大學,220324,韓國語文學系,D 日,M 碩士,1,8,0,3,1,4,0,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,2,17,19
1,國立政治大學,220324,韓國語文學系,D 日,B 學士,4,29,6,29,3,29,4,30,0,0,0,0,0,0,4,23,30 臺北市,1 一般,21,140,161
1,國立政治大學,220326,土耳其語文學系,D 日,B 學士,11,26,9,21,7,16,2,18,0,0,0,0,0,0,5,13,30 臺北市,1 一般,34,94,128
1,國立政治大學,220327,歐洲語文學系,D 日,B 學士,21,41,11,52,11,56,12,50,0,0,0,0,0,0,7,53,30 臺北市,1 一般,62,252,314
