學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,男生計,女生計,總計
1,國立政治大學,140101,教育學系,D 日,D 博士,13,5,10,7,10,7,8,5,9,5,3,4,1,6,0,0,30 臺北市,1 一般,54,39,93
1,國立政治大學,140101,教育學系,D 日,M 碩士,6,14,4,12,1,4,1,2,0,0,0,0,0,0,0,0,30 臺北市,1 一般,12,32,44
1,國立政治大學,140101,教育學系,D 日,B 學士,19,42,16,37,21,42,20,37,0,0,0,0,0,0,9,8,30 臺北市,1 一般,85,166,251
1,國立政治大學,140203,華語文教學博士學位學程,D 日,D 博士,0,3,0,2,1,0,0,4,0,0,0,2,0,1,0,0,30 臺北市,1 一般,1,12,13
1,國立政治大學,140203,華語文教學碩士學位學程,D 日,M 碩士,2,14,2,14,1,8,2,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般,7,44,51
1,國立政治大學,140218,國文教學碩士在職專班,N 職,M 碩士,5,16,5,14,1,10,3,7,0,8,0,0,0,0,0,0,30 臺北市,1 一般,14,55,69
1,國立政治大學,140401,幼兒教育研究所,D 日,M 碩士,2,14,2,9,0,7,0,6,0,0,0,0,0,0,0,0,30 臺北市,1 一般,4,36,40
1,國立政治大學,140701,教育行政與政策研究所,D 日,M 碩士,8,8,3,7,2,8,2,3,0,0,0,0,0,0,0,0,30 臺北市,1 一般,15,26,41
1,國立政治大學,140709,學校行政碩士在職專班,N 職,M 碩士,11,13,9,13,8,16,2,5,2,3,0,0,0,0,0,0,30 臺北市,1 一般,32,50,82
1,國立政治大學,220101,台灣文學研究所,D 日,D 博士,1,2,1,3,0,0,0,2,0,2,0,1,1,1,0,0,30 臺北市,1 一般,3,11,14
1,國立政治大學,220101,台灣文學研究所,D 日,M 碩士,4,7,1,9,3,8,1,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般,9,32,41
1,國立政治大學,220201,中國文學系,D 日,D 博士,8,5,2,12,5,6,5,4,3,8,4,2,3,4,0,0,30 臺北市,1 一般,30,41,71
1,國立政治大學,220201,中國文學系,D 日,M 碩士,7,28,11,6,5,12,12,15,0,0,0,0,0,0,0,0,30 臺北市,1 一般,35,61,96
1,國立政治大學,220201,中國文學系,D 日,B 學士,29,61,14,65,20,61,23,61,0,0,0,0,0,0,13,18,30 臺北市,1 一般,99,266,365
1,國立政治大學,220307,英國語文學系,D 日,D 博士,0,6,2,0,2,2,4,4,2,2,2,1,0,1,0,0,30 臺北市,1 一般,12,16,28
1,國立政治大學,220307,英國語文學系,D 日,M 碩士,5,10,2,10,4,12,4,10,0,0,0,0,0,0,0,0,30 臺北市,1 一般,15,42,57
