學校代碼,學校名稱,科系代碼,科系名稱,日間_進修別,等級別,上學年畢業生男,上學年畢業生女,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,9,9,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,2,5,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,12,45,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,3,9,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,6,19,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,0,5,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,2,2,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,1,3,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,1,1,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,14,0,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,19,5,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,2,2,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,6,4,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,0,1,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,10,20,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,0,2,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,3,4,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,B 學士,16,12,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,D 博士,2,4,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,M 碩士,1,10,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系,D 日,B 學士,21,42,30 臺北市,1 一般
0001,國立政治大學,02311009,英國語文學系英語教學碩士在職專班,N 職,M 碩士,0,9,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,M 碩士,3,4,30 臺北市,1 一般
0001,國立政治大學,02311011,日本語文學系,D 日,B 學士,13,30,30 臺北市,1 一般
0001,國立政治大學,02311012,阿拉伯語文學系,D 日,B 學士,17,30,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,M 碩士,0,1,30 臺北市,1 一般
0001,國立政治大學,02311014,韓國語文學系,D 日,B 學士,5,30,30 臺北市,1 一般
0001,國立政治大學,02311015,土耳其語文學系,D 日,B 學士,6,16,30 臺北市,1 一般
0001,國立政治大學,02311016,歐洲語文學系,D 日,B 學士,14,51,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,M 碩士,1,1,30 臺北市,1 一般
0001,國立政治大學,02311017,斯拉夫語文學系,D 日,B 學士,15,37,30 臺北市,1 一般
0001,國立政治大學,02311087,東南亞語言與文化學士學位學程,D 日,B 學士,1,9,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,D 博士,0,1,30 臺北市,1 一般
0001,國立政治大學,02321007,台灣文學研究所,D 日,M 碩士,4,5,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,D 博士,3,4,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,M 碩士,8,11,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系,D 日,B 學士,21,30,30 臺北市,1 一般
0001,國立政治大學,02322008,中國文學系國文教學碩士在職專班,N 職,M 碩士,2,12,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學博士學位學程,D 日,D 博士,0,5,30 臺北市,1 一般
0001,國立政治大學,02323002,華語文教學碩士學位學程,D 日,M 碩士,2,12,30 臺北市,1 一般
0001,國立政治大學,02399018,語言學研究所,D 日,M 碩士,3,3,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,D 博士,3,0,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,M 碩士,23,14,30 臺北市,1 一般
0001,國立政治大學,03111024,經濟學系,D 日,B 學士,50,43,30 臺北市,1 一般
0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,D 日,M 碩士,4,5,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,D 博士,6,0,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,M 碩士,8,8,30 臺北市,1 一般
0001,國立政治大學,03121026,政治學系,D 日,B 學士,26,25,30 臺北市,1 一般
0001,國立政治大學,03121029,國際事務學院國家安全與大陸研究碩士在職專班,N 職,M 碩士,14,2,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,M 碩士,10,7,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系,D 日,B 學士,24,42,30 臺北市,1 一般
0001,國立政治大學,03122045,外交學系戰略與國際事務碩士在職專班,N 職,M 碩士,13,3,30 臺北市,1 一般
0001,國立政治大學,03122046,國際研究英語碩士學位學程,D 日,M 碩士,9,6,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,D 博士,0,2,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,M 碩士,5,11,30 臺北市,1 一般
0001,國立政治大學,03131032,心理學系,D 日,B 學士,14,36,30 臺北市,1 一般
0001,國立政治大學,03131033,輔導與諮商碩士學位學程,D 日,M 碩士,3,11,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,M 碩士,8,7,30 臺北市,1 一般
0001,國立政治大學,03141030,社會學系,D 日,B 學士,17,25,30 臺北市,1 一般
0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,D 日,M 碩士,3,2,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,D 博士,2,0,30 臺北市,1 一般
0001,國立政治大學,03143028,東亞研究所,D 日,M 碩士,10,3,30 臺北市,1 一般
0001,國立政治大學,03143036,日本研究碩士學位學程,D 日,M 碩士,4,4,30 臺北市,1 一般
0001,國立政治大學,03143038,俄羅斯研究所,D 日,M 碩士,1,3,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語博士學位學程,D 日,D 博士,4,3,30 臺北市,1 一般
0001,國立政治大學,03143040,亞太研究英語碩士學位學程,D 日,M 碩士,9,6,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,D 博士,3,0,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,M 碩士,14,21,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,D 日,B 學士,66,64,30 臺北市,1 一般
0001,國立政治大學,03143043,地政學系,N 職,M 碩士,8,7,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,D 博士,2,3,30 臺北市,1 一般
0001,國立政治大學,03191047,國家發展研究所,D 日,M 碩士,6,3,30 臺北市,1 一般
0001,國立政治大學,03199048,勞工研究所,D 日,M 碩士,2,15,30 臺北市,1 一般
0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,D 日,M 碩士,21,40,30 臺北市,1 一般
0001,國立政治大學,03211050,國際傳播英語碩士學位學程,D 日,M 碩士,1,14,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院博士班,D 日,D 博士,0,3,30 臺北市,1 一般
0001,國立政治大學,03211056,傳播學院碩士在職專班,N 職,M 碩士,8,20,30 臺北市,1 一般
0001,國立政治大學,03213052,廣播電視學系,D 日,B 學士,22,52,30 臺北市,1 一般
0001,國立政治大學,03214051,新聞學系,D 日,B 學士,16,31,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,D 博士,1,1,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所,D 日,M 碩士,8,19,30 臺北市,1 一般
0001,國立政治大學,03222054,圖書資訊與檔案學研究所圖書資訊學數位碩士在職專班,N 職,M 碩士,2,13,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,D 博士,1,0,30 臺北市,1 一般
0001,國立政治大學,04111059,會計學系,D 日,M 碩士,30,35,30 臺北市,1 一般
