學校代碼,學校名稱,科系代碼,科系名稱,日間_進修別,等級別,上學年畢業生男,上學年畢業生女,縣市名稱,體系別
0001,國立政治大學,140101,教育學系,D日,D博士,3,5,30臺北市,1一般
0001,國立政治大學,140101,教育學系,D日,M碩士,3,10,30臺北市,1一般
0001,國立政治大學,140101,教育學系,D日,B學士,15,32,30臺北市,1一般
0001,國立政治大學,140203,華語文教學博士學位學程,D日,D博士,0,1,30臺北市,1一般
0001,國立政治大學,140203,華語文教學碩士學位學程,D日,M碩士,2,12,30臺北市,1一般
0001,國立政治大學,140218,國文教學碩士在職專班,N職,M碩士,0,14,30臺北市,1一般
0001,國立政治大學,140401,幼兒教育研究所,D日,M碩士,1,13,30臺北市,1一般
0001,國立政治大學,140701,教育行政與政策研究所,D日,M碩士,3,5,30臺北市,1一般
0001,國立政治大學,140709,學校行政碩士在職專班,N職,M碩士,7,12,30臺北市,1一般
0001,國立政治大學,220101,台灣文學研究所,D日,D博士,0,1,30臺北市,1一般
0001,國立政治大學,220101,台灣文學研究所,D日,M碩士,2,6,30臺北市,1一般
0001,國立政治大學,220201,中國文學系,D日,D博士,5,6,30臺北市,1一般
0001,國立政治大學,220201,中國文學系,D日,M碩士,10,19,30臺北市,1一般
0001,國立政治大學,220201,中國文學系,D日,B學士,25,50,30臺北市,1一般
0001,國立政治大學,220307,英國語文學系,D日,D博士,1,0,30臺北市,1一般
0001,國立政治大學,220307,英國語文學系,D日,M碩士,2,7,30臺北市,1一般
0001,國立政治大學,220307,英國語文學系,D日,B學士,13,53,30臺北市,1一般
0001,國立政治大學,220307,英國語文學系,N職,M碩士,1,10,30臺北市,1一般
0001,國立政治大學,220320,日本語文學系,D日,M碩士,0,3,30臺北市,1一般
0001,國立政治大學,220320,日本語文學系,D日,B學士,11,29,30臺北市,1一般
0001,國立政治大學,220322,阿拉伯語文學系,D日,B學士,10,23,30臺北市,1一般
0001,國立政治大學,220324,韓國語文學系,D日,M碩士,0,3,30臺北市,1一般
0001,國立政治大學,220324,韓國語文學系,D日,B學士,11,26,30臺北市,1一般
0001,國立政治大學,220326,土耳其語文學系,D日,B學士,10,16,30臺北市,1一般
0001,國立政治大學,220327,歐洲語文學系,D日,B學士,11,48,30臺北市,1一般
0001,國立政治大學,220327,歐洲語文學系,N職,M碩士,1,2,30臺北市,1一般
0001,國立政治大學,220333,斯拉夫語文學系,D日,M碩士,0,6,30臺北市,1一般
0001,國立政治大學,220333,斯拉夫語文學系,D日,B學士,12,25,30臺北市,1一般
0001,國立政治大學,220701,語言學研究所,D日,M碩士,1,8,30臺北市,1一般
0001,國立政治大學,220801,宗教研究所,D日,D博士,0,1,30臺北市,1一般
0001,國立政治大學,220901,歷史學系,D日,D博士,2,0,30臺北市,1一般
0001,國立政治大學,220901,歷史學系,D日,M碩士,10,2,30臺北市,1一般
0001,國立政治大學,220901,歷史學系,D日,B學士,18,28,30臺北市,1一般
0001,國立政治大學,220903,台灣史研究所,D日,D博士,0,2,30臺北市,1一般
0001,國立政治大學,220903,台灣史研究所,D日,M碩士,3,0,30臺北市,1一般
0001,國立政治大學,221101,哲學系,D日,D博士,1,0,30臺北市,1一般
0001,國立政治大學,221101,哲學系,D日,M碩士,6,3,30臺北市,1一般
